hs6,description
030345,"Fish, frozen, excluding fish fillets and other fish meat of heading - Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus"
030346,"Fish, frozen, excluding fish fillets and other fish meat of heading - Southern bluefin tunas (Thunnus maccoyii)"
030349,"Fish, frozen, excluding fish fillets and other fish meat of heading - Other"
030351,"Fish, frozen, excluding fish fillets and other fish meat of heading - Herrings (Clupea harengus, Clupea pallasii)"
030353,"Fish, frozen, excluding fish fillets and other fish meat of heading - Sardines (Sardina pilchardus, Sardinops spp.), sardinella"
030354,"Fish, frozen, excluding fish fillets and other fish meat of heading - Mackerel (Scomber scombrus, Scomber australasicus, Scomber"
030355,"Fish, frozen, excluding fish fillets and other fish meat of heading - Jack and horse mackerel (Trachurus spp.)"
030356,"Fish, frozen, excluding fish fillets and other fish meat of heading - Cobia (Rachycentron canadum)"
030357,"Fish, frozen, excluding fish fillets and other fish meat of heading - Swordfish (Xiphias gladius)"
030359,"Fish, frozen, excluding fish fillets and other fish meat of heading - Other"
030363,"Fish, frozen, excluding fish fillets and other fish meat of heading - Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030364,"Fish, frozen, excluding fish fillets and other fish meat of heading - Haddock (Melanogrammus aeglefinus)"
030365,"Fish, frozen, excluding fish fillets and other fish meat of heading - Coalfish (Pollachius virens)"
030366,"Fish, frozen, excluding fish fillets and other fish meat of heading - Hake (Merluccius spp., Urophycis spp.)"
030367,"Fish, frozen, excluding fish fillets and other fish meat of heading - Alaska Pollock (Theragra chalcogramma)"
030368,"Fish, frozen, excluding fish fillets and other fish meat of heading - Blue whitings (Micromesistius poutassou, Micromesistius"
030369,"Fish, frozen, excluding fish fillets and other fish meat of heading - Other"
030381,"Fish, frozen, excluding fish fillets and other fish meat of heading - Dogfish and other sharks"
030382,"Fish, frozen, excluding fish fillets and other fish meat of heading - Rays and skates (Rajidae)"
030383,"Fish, frozen, excluding fish fillets and other fish meat of heading - Toothfish (Dissostichus spp.)"
030384,"Fish, frozen, excluding fish fillets and other fish meat of heading - Seabass (Dicentrarchus spp.)"
030389,"Fish, frozen, excluding fish fillets and other fish meat of heading - Other"
030391,"Fish, frozen, excluding fish fillets and other fish meat of heading - Salmonidae, excluding edible fish offal of subheadings to"
030392,"Fish, frozen, excluding fish fillets and other fish meat of heading - Shark fins"
030399,"Fish, frozen, excluding fish fillets and other fish meat of heading - 0303.11 -- Sockeye salmon (red salmon) (Oncorhynchus nerka)"
030431,"Fish fillets and other fish meat (whether or not minced), fresh, - Tilapias (Oreochromis spp.)"
030432,"Fish fillets and other fish meat (whether or not minced), fresh, - Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus"
030433,"Fish fillets and other fish meat (whether or not minced), fresh, - Nile Perch (Lates niloticus)"
030439,"Fish fillets and other fish meat (whether or not minced), fresh, - Other"
030441,"Fish fillets and other fish meat (whether or not minced), fresh, - Fresh or chilled fillets of other fish - Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha,"
030442,"Fish fillets and other fish meat (whether or not minced), fresh, - Fresh or chilled fillets of other fish - Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus"
030443,"Fish fillets and other fish meat (whether or not minced), fresh, - Fresh or chilled fillets of other fish - Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,"
030444,"Fish fillets and other fish meat (whether or not minced), fresh, - Fresh or chilled fillets of other fish - Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae,"
030445,"Fish fillets and other fish meat (whether or not minced), fresh, - Fresh or chilled fillets of other fish - Swordfish (Xiphias gladius)"
030446,"Fish fillets and other fish meat (whether or not minced), fresh, - Fresh or chilled fillets of other fish - Toothfish (Dissostichus spp.)"
030447,"Fish fillets and other fish meat (whether or not minced), fresh, - Fresh or chilled fillets of other fish - Dogfish and other sharks"
030448,"Fish fillets and other fish meat (whether or not minced), fresh, - Fresh or chilled fillets of other fish - Rays and skates (Rajidae)"
030449,"Fish fillets and other fish meat (whether or not minced), fresh, - Fresh or chilled fillets of other fish - Other"
030451,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus"
030452,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Salmonidae"
030453,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae,"
030454,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Swordfish (Xiphias gladius)"
030455,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Toothfish (Dissostichus spp.)"
030456,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Dogfish and other sharks"
030457,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Rays and skates (Rajidae)"
030459,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Other"
030461,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Tilapias (Oreochromis spp.)"
030462,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus"
030463,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Nile Perch (Lates niloticus)"
030469,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Other"
030471,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030472,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Haddock (Melanogrammus aeglefinus)"
030473,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Coalfish (Pollachius virens)"
030474,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Hake (Merluccius spp., Urophycis spp.)"
030475,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Alaska Pollock (Theragra chalcogramma)"
030479,"Fish fillets and other fish meat (whether or not minced), fresh, - Other, fresh or chilled - Other"
030481,"Fish fillets and other fish meat (whether or not minced), fresh, - Frozen fillets of other fish - Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha,"
030482,"Fish fillets and other fish meat (whether or not minced), fresh, - Frozen fillets of other fish - Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus"
030483,"Fish fillets and other fish meat (whether or not minced), fresh, - Frozen fillets of other fish - Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,"
030484,"Fish fillets and other fish meat (whether or not minced), fresh, - Frozen fillets of other fish - Swordfish (Xiphias gladius)"
030485,"Fish fillets and other fish meat (whether or not minced), fresh, - Frozen fillets of other fish - Toothfish (Dissostichus spp.)"
030486,"Fish fillets and other fish meat (whether or not minced), fresh, - Frozen fillets of other fish - Herrings (Clupea harengus, Clupea pallasii)"
030487,"Fish fillets and other fish meat (whether or not minced), fresh, - Frozen fillets of other fish - Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied"
